eaf_filename,participant,transcription,transcription_id,xds,sampling_type,is_silent,VIHI_ID,group,utterance_clean,utt_num
TD_436_678.eaf,MA1,is that for xxx tickets or-.,a3136,A,high-volubility,N,TD_436_678,TD,is that for  tickets or,22
TD_436_678.eaf,MC1,xxx told me xxx.,a3146,A,high-volubility,N,TD_436_678,TD, told me ,23
TD_436_678.eaf,FA1,it's like xxx tickets.,a3108,A,high-volubility,N,TD_436_678,TD,it's like  tickets,24
TD_436_678.eaf,MC1,Daddy xxx.,a3148,A,high-volubility,N,TD_436_678,TD,Daddy ,25
TD_436_678.eaf,MA1,well they wanting your Ticketmaster or your blueprint?,a3137,A,high-volubility,N,TD_436_678,TD,well they wanting your Ticketmaster or your blueprint,26
TD_436_678.eaf,FA1,I put that one right here.,a3109,A,high-volubility,N,TD_436_678,TD,I put that one right here,27
TD_436_678.eaf,MC2,<xxx> [=! cries].,a3154,C,high-volubility,N,TD_436_678,TD, = cries,28
TD_436_678.eaf,MC2,<me reading this book> [=! whines].,a3155,C,high-volubility,N,TD_436_678,TD,<me reading this book> = whines,29
TD_436_678.eaf,MC2,<me reading this book Jane> [=! whines].,a3156,C,high-volubility,N,TD_436_678,TD,<me reading this book Jane> = whines,30
TD_436_678.eaf,MC2,xxx Mommy you have it.,a3157,A,high-volubility,N,TD_436_678,TD, Mommy you have it,31
TD_436_678.eaf,MC1,&=cries.,a3150,A,high-volubility,N,TD_436_678,TD,,32
TD_436_678.eaf,MC2,no.,a3158,C,high-volubility,N,TD_436_678,TD,no,33
TD_436_678.eaf,MC2,go away!,a3159,C,high-volubility,N,TD_436_678,TD,go away,34
TD_436_678.eaf,MC2,go away.,a3160,C,high-volubility,N,TD_436_678,TD,go away,35
TD_436_678.eaf,FA1,hey hey hey.,a3112,C,high-volubility,N,TD_436_678,TD,hey hey hey,36
TD_436_678.eaf,MC2,<I don't want you> [=! cries].,a3161,C,high-volubility,N,TD_436_678,TD,<I don't want you> = cries,37
TD_436_678.eaf,FA1,did xxx.,a3115,A,high-volubility,N,TD_436_678,TD,did ,38
TD_436_678.eaf,MC2,<I don't want you> [=! cries].,a3162,C,high-volubility,N,TD_436_678,TD,<I don't want you> = cries,39
TD_436_678.eaf,MC2,<I don't want you Jane> [=! cries].,a3163,C,high-volubility,N,TD_436_678,TD,<I don't want you Jane> = cries,40
TD_436_678.eaf,MC2,<I don't want you> [=! yells].,a3164,C,high-volubility,N,TD_436_678,TD,<I don't want you> = yells,41
TD_436_678.eaf,FA1,Porter and Jane.,a3116,C,high-volubility,N,TD_436_678,TD,Porter and Jane,42
TD_436_678.eaf,FA1,oh.,a3117,C,high-volubility,N,TD_436_678,TD,oh,43
TD_436_678.eaf,FA1,do you want your own book like that?,a3118,C,high-volubility,N,TD_436_678,TD,do you want your own book like that,44
TD_436_678.eaf,FA1,look.,a3119,C,high-volubility,N,TD_436_678,TD,look,45
TD_436_678.eaf,FA1,there's another book just like that.,a3120,C,high-volubility,N,TD_436_678,TD,there's another book just like that,46
TD_436_678.eaf,FA1,look.,a3121,C,high-volubility,N,TD_436_678,TD,look,47
TD_436_678.eaf,FA1,look.,a3122,C,high-volubility,N,TD_436_678,TD,look,48
TD_436_678.eaf,FA1,it's a baby book.,a3123,C,high-volubility,N,TD_436_678,TD,it's a baby book,49
TD_436_678.eaf,FA1,look.,a3124,C,high-volubility,N,TD_436_678,TD,look,50
TD_436_678.eaf,FA1,<huh> [=! gasps].,a3125,C,high-volubility,N,TD_436_678,TD, = gasps,51
TD_436_678.eaf,FA1,can you find this fishy?,a3126,C,high-volubility,N,TD_436_678,TD,can you find this fishy,52
TD_436_678.eaf,FA1,where that fishy at?,a3127,C,high-volubility,N,TD_436_678,TD,where that fishy at,53
TD_436_678.eaf,MA1,it looks like your xxx.,a3140,A,high-volubility,N,TD_436_678,TD,it looks like your ,54
TD_436_678.eaf,FA1,well maybe it has the xxx.,a3128,A,high-volubility,N,TD_436_678,TD,well maybe it has the ,55
TD_436_678.eaf,MC1,<I want to do that at home> [=! whines].,a3166,A,high-volubility,N,TD_436_678,TD,<I want to do that at home> = whines,56
TD_436_678.eaf,FA1,George.,a3132,C,high-volubility,N,TD_436_678,TD,George,57
TD_436_678.eaf,MA1,who is that xxx?,a3356,A,high-volubility,N,TD_436_678,TD,who is that ,58
TD_436_678.eaf,MA1,you want xxx or no?,a3357,A,high-volubility,N,TD_436_678,TD,you want  or no,59
TD_436_678.eaf,FA1,I think it was a xxx.,a3334,A,high-volubility,N,TD_436_678,TD,I think it was a ,60
TD_436_678.eaf,MA1,hey.,a3359,C,high-volubility,N,TD_436_678,TD,hey,61
TD_436_678.eaf,MA1,stop.,a3360,C,high-volubility,N,TD_436_678,TD,stop,62
TD_436_678.eaf,MA1,well why are you screaming?,a3361,C,high-volubility,N,TD_436_678,TD,well why are you screaming,63
TD_436_678.eaf,MA1,did you take something from her?,a3362,C,high-volubility,N,TD_436_678,TD,did you take something from her,64
TD_436_678.eaf,MA1,you're reading the book.,a3363,C,high-volubility,N,TD_436_678,TD,you're reading the book,65
TD_436_678.eaf,MA1,she was looking at the car.,a3364,C,high-volubility,N,TD_436_678,TD,she was looking at the car,66
TD_436_678.eaf,MA1,here you go Porter.,a3365,C,high-volubility,N,TD_436_678,TD,here you go Porter,67
TD_436_678.eaf,MC2,<my car back> [=! yells].,a3340,A,high-volubility,N,TD_436_678,TD,<my car back> = yells,68
TD_436_678.eaf,MA1,no.,a3366,C,high-volubility,N,TD_436_678,TD,no,69
TD_436_678.eaf,MA1,xxx you're looking at the book.,a3367,C,high-volubility,N,TD_436_678,TD, you're looking at the book,70
TD_436_678.eaf,MC2,&=cries.,a3341,A,high-volubility,N,TD_436_678,TD,,71
TD_436_678.eaf,MA1,it's okay.,a3368,C,high-volubility,N,TD_436_678,TD,it's okay,72
TD_436_678.eaf,MA1,you can cry.,a3415,C,high-volubility,N,TD_436_678,TD,you can cry,73
TD_436_678.eaf,MA1,it's okay to cry Porter.,a3416,C,high-volubility,N,TD_436_678,TD,it's okay to cry Porter,74
TD_436_678.eaf,FA1,remember when we saw Nathan?,a3335,A,high-volubility,N,TD_436_678,TD,remember when we saw Nathan,75
TD_436_678.eaf,MA1,give it to me give it.,a3369,C,high-volubility,N,TD_436_678,TD,give it to me give it,76
TD_436_678.eaf,MC2,<I don't want> [=! screams].,a3342,A,high-volubility,N,TD_436_678,TD,<I don't want> = screams,77
TD_436_678.eaf,MA1,uh not-.,a3370,A,high-volubility,N,TD_436_678,TD,uh not,78
TD_436_678.eaf,FA1,not that.,a3336,A,high-volubility,N,TD_436_678,TD,not that,79
TD_436_678.eaf,FA1,xxx girl.,a3337,A,high-volubility,N,TD_436_678,TD, girl,80
TD_436_678.eaf,MA1,the who?,a3371,A,high-volubility,N,TD_436_678,TD,the who,81
TD_436_678.eaf,FA1,that-.,a3338,A,high-volubility,N,TD_436_678,TD,that,82
TD_436_678.eaf,MC2,&=cries.,a3343,A,high-volubility,N,TD_436_678,TD,,83
TD_436_678.eaf,FA1,xxx in the pig pen.,a3339,A,high-volubility,N,TD_436_678,TD, in the pig pen,84
TD_436_678.eaf,MA1,oh yeah.,a3372,A,high-volubility,N,TD_436_678,TD,oh yeah,85
TD_436_678.eaf,MC2,I wanna punch Janey in the face.,a3344,A,high-volubility,N,TD_436_678,TD,I wanna punch Janey in the face,86
TD_436_678.eaf,MA1,you better not punch Janey in the face.,a3373,C,high-volubility,N,TD_436_678,TD,you better not punch Janey in the face,87
TD_436_678.eaf,MC2,&=cries.,a3345,A,high-volubility,N,TD_436_678,TD,,88
TD_436_678.eaf,MA1,you had better not punch-.,a3374,C,high-volubility,N,TD_436_678,TD,you had better not punch,89
TD_436_678.eaf,MA1,even say you're gonna do something like that.,a3375,C,high-volubility,N,TD_436_678,TD,even say you're gonna do something like that,90
TD_436_678.eaf,MC2,<uh huh> [=! cries].,a3346,A,high-volubility,N,TD_436_678,TD,<uh huh> = cries,91
TD_436_678.eaf,MC2,&=cries.,a3347,A,high-volubility,N,TD_436_678,TD,,92
TD_436_678.eaf,MC2,&=whines.,a3348,A,high-volubility,N,TD_436_678,TD,,93
TD_436_678.eaf,MA1,who says that?,a3377,C,high-volubility,N,TD_436_678,TD,who says that,94
TD_436_678.eaf,MA1,other than-.,a3378,C,high-volubility,N,TD_436_678,TD,other than,95
TD_436_678.eaf,MC2,&=cries.,a3349,A,high-volubility,N,TD_436_678,TD,,96
TD_436_678.eaf,MA1,oh Porter come on honey keep on going.,a3379,C,high-volubility,N,TD_436_678,TD,oh Porter come on honey keep on going,97
TD_436_678.eaf,MA1,keep on playing.,a3380,C,high-volubility,N,TD_436_678,TD,keep on playing,98
TD_436_678.eaf,MA1,you were reading the book babe.,a3381,C,high-volubility,N,TD_436_678,TD,you were reading the book babe,99
TD_436_678.eaf,MC2,I don't want a book.,a3350,A,high-volubility,N,TD_436_678,TD,I don't want a book,100
TD_436_678.eaf,MA1,then go do something else.,a3382,C,high-volubility,N,TD_436_678,TD,then go do something else,101
TD_436_678.eaf,MA1,go do something else.,a3383,C,high-volubility,N,TD_436_678,TD,go do something else,102
TD_436_678.eaf,MA1,I know these emotions are very powerful.,a3384,C,high-volubility,N,TD_436_678,TD,I know these emotions are very powerful,103
TD_436_678.eaf,MC2,<I want my car back> [=! cries].,a3351,A,high-volubility,N,TD_436_678,TD,<I want my car back> = cries,104
TD_436_678.eaf,MC2,&=cries.,a3352,A,high-volubility,N,TD_436_678,TD,,105
TD_436_678.eaf,MA1,when Janey's done playing with it you can get it.,a3385,C,high-volubility,N,TD_436_678,TD,when Janey's done playing with it you can get it,106
TD_436_678.eaf,MC2,&=cries.,a3353,A,high-volubility,N,TD_436_678,TD,,107
TD_436_678.eaf,MC2,&=cries.,a3354,A,high-volubility,N,TD_436_678,TD,,108
TD_436_678.eaf,MA1,isn't that right Jane?,a3386,C,high-volubility,N,TD_436_678,TD,isn't that right Jane,109
TD_436_678.eaf,MA1,Bubby can play with the car when you're done?,a3387,C,high-volubility,N,TD_436_678,TD,Bubby can play with the car when you're done,110
TD_436_678.eaf,MA1,huh?,a3388,C,high-volubility,N,TD_436_678,TD,huh,111
TD_436_678.eaf,MA1,Daddy's gotta get through here please.,a3389,C,high-volubility,N,TD_436_678,TD,Daddy's gotta get through here please,112
TD_436_678.eaf,MC2,<are you done with it Jane> [=! cries]?,a3355,C,high-volubility,N,TD_436_678,TD,<are you done with it Jane> = cries,113
TD_436_678.eaf,FA1,tell Daddy!,a95,C,random,N,TD_436_678,TD,tell Daddy,114
TD_436_678.eaf,FA1,he's standing right by the sink!,a96,C,random,N,TD_436_678,TD,he's standing right by the sink,115
TD_436_678.eaf,MA1,tell me baby.,a104,C,random,N,TD_436_678,TD,tell me baby,116
TD_436_678.eaf,MA1,tell me.,a105,C,random,N,TD_436_678,TD,tell me,117
TD_436_678.eaf,MA1,what happened to your hands?,a106,C,random,N,TD_436_678,TD,what happened to your hands,118
TD_436_678.eaf,MA1,you need to wash <em> [: them]?,a107,C,random,N,TD_436_678,TD,you need to wash   them,119
TD_436_678.eaf,MA1,then let's go over to the sink.,a108,C,random,N,TD_436_678,TD,then let's go over to the sink,120
TD_436_678.eaf,MA1,you just have to use your words honey.,a109,C,random,N,TD_436_678,TD,you just have to use your words honey,121
TD_436_678.eaf,MA1,what do you want Daddy to do?,a110,C,random,N,TD_436_678,TD,what do you want Daddy to do,122
TD_436_678.eaf,MA1,that?,a111,C,random,N,TD_436_678,TD,that,123
TD_436_678.eaf,MA1,what's that?,a112,C,random,N,TD_436_678,TD,what's that,124
TD_436_678.eaf,MA1,what is-?,a113,C,random,N,TD_436_678,TD,what is,125
TD_436_678.eaf,MA1,say water.,a114,C,random,N,TD_436_678,TD,say water,126
TD_436_678.eaf,MA1,water.,a115,C,random,N,TD_436_678,TD,water,127
TD_436_678.eaf,MA1,are you thirsty?,a116,C,random,N,TD_436_678,TD,are you thirsty,128
TD_436_678.eaf,MA1,you want some-.,a117,C,random,N,TD_436_678,TD,you want some,129
TD_436_678.eaf,MA1,-squeezy?,a118,C,random,N,TD_436_678,TD,squeezy,130
TD_436_678.eaf,MA1,you want some soap?,a119,C,random,N,TD_436_678,TD,you want some soap,131
TD_436_678.eaf,MA1,good job.,a120,C,random,N,TD_436_678,TD,good job,132
TD_436_678.eaf,MA1,rub <em> [: them] inside and out!,a121,C,random,N,TD_436_678,TD,rub   them inside and out,133
TD_436_678.eaf,MA1,I think you're ready!,a122,C,random,N,TD_436_678,TD,I think you're ready,134
TD_436_678.eaf,MA1,to rinse!,a123,C,random,N,TD_436_678,TD,to rinse,135
TD_436_678.eaf,MA1,let's rinse <em> [: them].,a124,C,random,N,TD_436_678,TD,let's rinse   them,136
TD_436_678.eaf,MA1,rinse <em> [: them] in the water!,a125,C,random,N,TD_436_678,TD,rinse   them in the water,137
TD_436_678.eaf,MA1,put your hands in there.,a126,C,random,N,TD_436_678,TD,put your hands in there,138
TD_436_678.eaf,MA1,gotta wash the bubbles away!,a127,C,random,N,TD_436_678,TD,gotta wash the bubbles away,139
TD_436_678.eaf,FA1,did you get wet hands now?,a97,C,random,N,TD_436_678,TD,did you get wet hands now,140
TD_436_678.eaf,FA1,hey do you <hafta> [: have to] go potty?,a98,C,random,N,TD_436_678,TD,hey do you   have to go potty,141
TD_436_678.eaf,FA1,do you wanna go sit on the potty?,a99,C,random,N,TD_436_678,TD,do you wanna go sit on the potty,142
TD_436_678.eaf,FA1,chew it up.,a101,C,random,N,TD_436_678,TD,chew it up,143
TD_436_678.eaf,FA1,chew it up.,a102,C,random,N,TD_436_678,TD,chew it up,144
TD_436_678.eaf,FA1,what?,a103,C,random,N,TD_436_678,TD,what,145
TD_436_678.eaf,MA1,yeah.,a1271,A,random,N,TD_436_678,TD,yeah,146
TD_436_678.eaf,MA1,bring the blue one?,a1272,A,random,N,TD_436_678,TD,bring the blue one,147
TD_436_678.eaf,MA1,xxx camping.,a1273,A,random,N,TD_436_678,TD, camping,148
TD_436_678.eaf,MA1,xxx I want you up on the xxx.,a1274,A,random,N,TD_436_678,TD, I want you up on the ,149
TD_436_678.eaf,MA1,if we're if-.,a1275,A,random,N,TD_436_678,TD,if we're if,150
TD_436_678.eaf,MA1,what are you getting into?,a1276,C,random,N,TD_436_678,TD,what are you getting into,151
TD_436_678.eaf,MA1,get out of there.,a1277,C,random,N,TD_436_678,TD,get out of there,152
TD_436_678.eaf,MA1,we just had breakfast.,a1278,C,random,N,TD_436_678,TD,we just had breakfast,153
TD_436_678.eaf,FA1,Cape Ann whale watch.,a128,A,random,N,TD_436_678,TD,Cape Ann whale watch,154
TD_436_678.eaf,MA1,which one?,a1279,A,random,N,TD_436_678,TD,which one,155
TD_436_678.eaf,FA1,Cape Ann whale watch.,a129,A,random,N,TD_436_678,TD,Cape Ann whale watch,156
TD_436_678.eaf,MA1,Cape Ann?,a1280,A,random,N,TD_436_678,TD,Cape Ann,157
TD_436_678.eaf,MA1,I don't know where Cape Ann is.,a1281,A,random,N,TD_436_678,TD,I don't know where Cape Ann is,158
TD_436_678.eaf,MA1,is there a map?,a1282,A,random,N,TD_436_678,TD,is there a map,159
TD_436_678.eaf,FA1,I'll just xxx.,a130,A,random,N,TD_436_678,TD,I'll just ,160
TD_436_678.eaf,FA1,it's thirty dollars to just one adult.,a131,A,random,N,TD_436_678,TD,it's thirty dollars to just one adult,161
TD_436_678.eaf,MA1,woof.,a1283,A,random,N,TD_436_678,TD,woof,162
TD_436_678.eaf,FA1,monkey trunks.,a149,A,random,N,TD_436_678,TD,monkey trunks,163
TD_436_678.eaf,MC2,watching that tv show!,a181,A,random,N,TD_436_678,TD,watching that tv show,164
TD_436_678.eaf,MC1,what?,a2193,A,random,N,TD_436_678,TD,what,165
TD_436_678.eaf,MC2,and I'll never go to the library!,a199,A,random,N,TD_436_678,TD,and I'll never go to the library,166
TD_436_678.eaf,MA1,Porter don't say what your brother said please.,a189,C,random,N,TD_436_678,TD,Porter don't say what your brother said please,167
TD_436_678.eaf,MA1,you like going to the library.,a190,C,random,N,TD_436_678,TD,you like going to the library,168
TD_436_678.eaf,MC2,but he's not coming.,a186,A,random,N,TD_436_678,TD,but he's not coming,169
TD_436_678.eaf,MA1,yes he is.,a191,C,random,N,TD_436_678,TD,yes he is,170
TD_436_678.eaf,MC2,xxx over and.,a1269,C,random,N,TD_436_678,TD, over and,171
TD_436_678.eaf,MC2,yes.,a2217,C,random,N,TD_436_678,TD,yes,172
TD_436_678.eaf,MC2,this is more for either then.,a187,C,random,N,TD_436_678,TD,this is more for either then,173
TD_436_678.eaf,MC2,and not going library.,a200,C,random,N,TD_436_678,TD,and not going library,174
TD_436_678.eaf,MC2,last.,a201,C,random,N,TD_436_678,TD,last,175
TD_436_678.eaf,MC2,okay I'm gonna drum.,a202,C,random,N,TD_436_678,TD,okay I'm gonna drum,176
TD_436_678.eaf,MC2,a drummer.,a203,C,random,N,TD_436_678,TD,a drummer,177
TD_436_678.eaf,MC2,a drum.,a204,C,random,N,TD_436_678,TD,a drum,178
TD_436_678.eaf,MA1,yeah Baby.,a6578,C,random,N,TD_436_678,TD,yeah Baby,179
TD_436_678.eaf,MA1,shut the door.,a243,C,random,N,TD_436_678,TD,shut the door,180
TD_436_678.eaf,MA1,shut.,a244,C,random,N,TD_436_678,TD,shut,181
TD_436_678.eaf,MA1,the door.,a245,C,random,N,TD_436_678,TD,the door,182
TD_436_678.eaf,MA1,shut the door.,a246,C,random,N,TD_436_678,TD,shut the door,183
TD_436_678.eaf,MC1,&=squeals.,a2211,A,random,N,TD_436_678,TD,,184
TD_436_678.eaf,MC1,&=squeals.,a2212,A,random,N,TD_436_678,TD,,185
TD_436_678.eaf,FA1,do you want to leave Porter?,a205,A,random,N,TD_436_678,TD,do you want to leave Porter,186
TD_436_678.eaf,MA1,I don't wanna hurt you.,a247,C,random,N,TD_436_678,TD,I don't wanna hurt you,187
TD_436_678.eaf,MA1,I don't want to grab your face and-.,a248,C,random,N,TD_436_678,TD,I don't want to grab your face and,188
TD_436_678.eaf,MA1,-rip it off.,a249,C,random,N,TD_436_678,TD,rip it off,189
TD_436_678.eaf,MA1,okay?,a250,C,random,N,TD_436_678,TD,okay,190
TD_436_678.eaf,MA1,I don't want to grab your face like this.,a251,C,random,N,TD_436_678,TD,I don't want to grab your face like this,191
TD_436_678.eaf,MA1,why is that with us?,a253,A,random,N,TD_436_678,TD,why is that with us,192
TD_436_678.eaf,FA1,I'm trying to take Janey's-.,a206,A,random,N,TD_436_678,TD,I'm trying to take Janey's,193
TD_436_678.eaf,FA1,-shirt off.,a207,A,random,N,TD_436_678,TD,shirt off,194
TD_436_678.eaf,FA1,leave- just leave him here!,a208,A,random,N,TD_436_678,TD,leave just leave him here,195
TD_436_678.eaf,FA1,<c'mere> [: come here] Jane I got you a new shirt.,a209,C,random,N,TD_436_678,TD,  come here Jane I got you a new shirt,196
TD_436_678.eaf,FA1,look.,a227,C,random,N,TD_436_678,TD,look,197
TD_436_678.eaf,FA1,smile!,a228,C,random,N,TD_436_678,TD,smile,198
TD_436_678.eaf,FA1,face!,a229,C,random,N,TD_436_678,TD,face,199
TD_436_678.eaf,MC2,I xxx smile xxx-.,a225,A,random,N,TD_436_678,TD,I  smile ,200
TD_436_678.eaf,MC2,face!,a226,A,random,N,TD_436_678,TD,face,201
TD_436_678.eaf,FA1,I don't have a smile face for Porter!,a230,C,random,N,TD_436_678,TD,I don't have a smile face for Porter,202
TD_436_678.eaf,MC1,<I want to-> [=! cries].,a1318,A,random,N,TD_436_678,TD,<I want to> = cries,203
TD_436_678.eaf,MC1,<I want to-> [=! cries].,a1325,A,random,N,TD_436_678,TD,<I want to> = cries,204
TD_436_678.eaf,MA1,come on.,a254,C,random,N,TD_436_678,TD,come on,205
TD_436_678.eaf,MA1,crying like a baby isn't gonna get you xxx.,a255,C,random,N,TD_436_678,TD,crying like a baby isn't gonna get you ,206
TD_436_678.eaf,MC1,<I want to go> [=! cries].,a1319,A,random,N,TD_436_678,TD,<I want to go> = cries,207
TD_436_678.eaf,FA1,why are you crying?,a231,C,random,N,TD_436_678,TD,why are you crying,208
TD_436_678.eaf,MA1,are there any restrictions on what I should xxx on this card?,a256,A,random,N,TD_436_678,TD,are there any restrictions on what I should  on this card,209
TD_436_678.eaf,MC1,<I want to go> [=! cries].,a1320,A,random,N,TD_436_678,TD,<I want to go> = cries,210
TD_436_678.eaf,FA1,what's that?,a232,A,random,N,TD_436_678,TD,what's that,211
TD_436_678.eaf,MA1,are there any restrictions that I can xxx on his card?,a257,A,random,N,TD_436_678,TD,are there any restrictions that I can  on his card,212
TD_436_678.eaf,FA1,I don't think so.,a233,A,random,N,TD_436_678,TD,I don't think so,213
TD_436_678.eaf,FA1,what?,a234,C,random,N,TD_436_678,TD,what,214
TD_436_678.eaf,FA1,why?,a235,C,random,N,TD_436_678,TD,why,215
TD_436_678.eaf,FA1,truck?,a236,C,random,N,TD_436_678,TD,truck,216
TD_436_678.eaf,FA1,are you taking the truck?,a237,C,random,N,TD_436_678,TD,are you taking the truck,217
TD_436_678.eaf,FA1,you taking the van?,a238,C,random,N,TD_436_678,TD,you taking the van,218
TD_436_678.eaf,MC1,<I wanna go> [=! crying].,a1321,A,random,N,TD_436_678,TD,<I wanna go> = crying,219
TD_436_678.eaf,FA1,why are you crying?,a239,C,random,N,TD_436_678,TD,why are you crying,220
TD_436_678.eaf,FA1,why did Daddy get you in trouble?,a240,C,random,N,TD_436_678,TD,why did Daddy get you in trouble,221
TD_436_678.eaf,MC1,&=cries.,a2213,A,random,N,TD_436_678,TD,,222
TD_436_678.eaf,FA1,why are you in trouble?,a241,C,random,N,TD_436_678,TD,why are you in trouble,223
TD_436_678.eaf,FA1,why are you in trouble right now?,a242,C,random,N,TD_436_678,TD,why are you in trouble right now,224
TD_436_678.eaf,MA1,well we came to visit xxx.,a606,A,random,N,TD_436_678,TD,well we came to visit ,225
TD_436_678.eaf,MA1,sign.,a593,A,random,N,TD_436_678,TD,sign,226
TD_436_678.eaf,MA1,I don't think so.,a594,C,random,N,TD_436_678,TD,I don't think so,227
TD_436_678.eaf,MA1,not today.,a1222,C,random,N,TD_436_678,TD,not today,228
TD_436_678.eaf,MC1,xxx over here!,a1328,A,random,N,TD_436_678,TD, over here,229
TD_436_678.eaf,MC2,I picked out a lot of movies.,a610,A,random,N,TD_436_678,TD,I picked out a lot of movies,230
TD_436_678.eaf,MA1,xxx there movies.,a714,A,random,N,TD_436_678,TD, there movies,231
TD_436_678.eaf,MC1,right here.,a1329,A,random,N,TD_436_678,TD,right here,232
TD_436_678.eaf,MC2,I don't want to watch.,a949,A,random,N,TD_436_678,TD,I don't want to watch,233
TD_436_678.eaf,MA1,not right now.,a595,C,random,N,TD_436_678,TD,not right now,234
TD_436_678.eaf,MC1,Alvin_and_the_Chipmunks?,a1330,A,random,N,TD_436_678,TD,AlvinandtheChipmunks,235
TD_436_678.eaf,MA1,hm.,a596,C,random,N,TD_436_678,TD,hm,236
TD_436_678.eaf,MA1,mm.,a597,C,random,N,TD_436_678,TD,mm,237
TD_436_678.eaf,MC2,move over xxx.,a625,C,random,N,TD_436_678,TD,move over ,238
TD_436_678.eaf,MA1,wouldn't you love that.,a598,C,random,N,TD_436_678,TD,wouldn't you love that,239
TD_436_678.eaf,MC1,I wanna see Alvin_and_the_Chipmunks.,a1331,A,random,N,TD_436_678,TD,I wanna see AlvinandtheChipmunks,240
TD_436_678.eaf,MC2,Dad!,a627,A,random,N,TD_436_678,TD,Dad,241
TD_436_678.eaf,MC2,xxx book I gotta go again.,a628,A,random,N,TD_436_678,TD, book I gotta go again,242
TD_436_678.eaf,MC1,Dad I want to see Alvin_and_the_Chipmunks!,a1332,A,random,N,TD_436_678,TD,Dad I want to see AlvinandtheChipmunks,243
TD_436_678.eaf,MA1,um is there-.,a599,A,random,N,TD_436_678,TD,um is there,244
TD_436_678.eaf,MC1,Dad!,a1342,A,random,N,TD_436_678,TD,Dad,245
TD_436_678.eaf,MA1,how many xxx.,a2198,A,random,N,TD_436_678,TD,how many ,246
TD_436_678.eaf,MC1,can I please see Alvin_and_the_Chipmunks?,a1343,A,random,N,TD_436_678,TD,can I please see AlvinandtheChipmunks,247
TD_436_678.eaf,MC2,can we please see-.,a632,A,random,N,TD_436_678,TD,can we please see,248
TD_436_678.eaf,MC1,I really want to take Alvin_and_the_Chipmunks.,a1344,A,random,N,TD_436_678,TD,I really want to take AlvinandtheChipmunks,249
TD_436_678.eaf,MA1,okay.,a600,A,random,N,TD_436_678,TD,okay,250
TD_436_678.eaf,MA1,alright.,a601,A,random,N,TD_436_678,TD,alright,251
TD_436_678.eaf,MC2,Dad.,a634,A,random,N,TD_436_678,TD,Dad,252
TD_436_678.eaf,MC1,can we please have this?,a1345,A,random,N,TD_436_678,TD,can we please have this,253
TD_436_678.eaf,MA1,talk to your later.,a602,A,random,N,TD_436_678,TD,talk to your later,254
TD_436_678.eaf,MA1,uh and do you want me getting any books or <nah> [: no]?,a603,A,random,N,TD_436_678,TD,uh and do you want me getting any books or   no,255
TD_436_678.eaf,MA1,okay.,a604,A,random,N,TD_436_678,TD,okay,256
TD_436_678.eaf,MC2,can I xxx.,a636,A,random,N,TD_436_678,TD,can I ,257
TD_436_678.eaf,MA1,see <ya> [: you].,a616,A,random,N,TD_436_678,TD,see   you,258
TD_436_678.eaf,MA1,sure.,a617,A,random,N,TD_436_678,TD,sure,259
TD_436_678.eaf,MC1,oh Porter you xxx.,a619,C,random,N,TD_436_678,TD,oh Porter you ,260
